Material	Descripción del material
18008848	DANGLER:REDONDO;7.87X7.87;TEXCOTE
18008849	DANGLER:CUADRADO;3.95X3.95;TEXCOTE
18008850	VOLANTE:B-100;8.50X9.00";FULL COLOR
18008851	LIBRO:PARA;COLOREAR;5.50X8.50"
18008889	ROTULO:BANDERA;DOS;CARAS;2.50;X;1.00
18008890	ROTULO:FRONTAL;PLANO;4.90;X;1.23;MTS
18008891	RIGIDOS:ESTRUCTURA;COMPLETA;1.79;X;1
18008892	ROTULO:MENU;BOARD;DIMENSIONES;2.40;X
18008893	ROTULO:PIZZA;Y;LISTA;DIMENSIONES;0.6
18008894	ROTULACION:REGLAMENTARIA;3;35.00MM;IM
18008895	MUPIE:TROQUELADO;SICILIO;3,100.00;0.84;
18008896	LOGO:BARRA;DE;PVC;3MM;TROQUELADO
18008897	VALLA:COMPLETA;1;X;2;MTS.;1,900.00;
18008898	SICILIO:TROQUELADO;;PVC;5MM;PARA;PARED
18008899	ADOSADO:PVC;TERMPORAL;DE;2.44;X;0.60;
18008900	PORTA:HOJAS;ELABORADO;EN;ACRILICO;TRANSP
18008901	LONA:PEDESTAL;DE;0.55;X;1.15;MTS.
18008902	BASE:PEDESTAL;ROTULO;4"
18008903	VALLA:4.00;X;2.20;MTS
18008904	PATAS:BASE;Y;TENZORES;VALLA;1X;0.6
18008905	ROTULO:FORRADO;2,500.00;VINIL;UV
18008906	ROTULO:BASTIDOR;TUBO;CUADRADO;1X1;7,9
18008907	ROTULO:BASTIDOR;TUBO;CUADRADO;1X1;5,50
18008908	ROTULO:BASTIDOR;TUBO;CUADRADO;1X1;7,5
18008909	ROTULO:CAJA;DE;LUZ;RECIBE;TU;PIZZA
18008910	CENEFA:LATERAL;VALLA;CON;TUBO;1/2;;
18008911	VALLA:CON;TUBO;CUADRADO;1X1;FRENTE;
18008912	PVC:RIGIDO;SIN;ESTRCTURA;PVC;3MM;UV
18008913	VALLA:LATERAL;LONA;REFLECTORES;DE;1.5
18008914	TUBO:BASE;ADICIONAL;4;PUL.;X;1.5;MT
18008915	CAJA:DE;LUZ;DOBLE;0.60;X;1.50MT;PEDESTAL
18008916	ROTULO:NEON;PIZZA;LISTA;C/BASE;ACRILICO
18008917	BASE:MENU;BOARD;PVC;LAMINA;1X1.5;MT
18008918	FLY:BANNER;DE;3;MT;TELA
18008919	ROTULO:BANDEROLA;MEDIDA;2.80;X;1.50;MT
18008920	SEÑAL:PVC;6MM;IMPR;ALT/RESOL;0.80X1.10MT
18008921	VINIL:MICROPERFORAD;5.15X4.15MT
18008922	VINIL:MICROPERFORAD;2.12X1.92;M
18008929	VALLA:PARQUEO;9.20X6M
18008931	BOTONES:METALICOS
18008932	VINIL:MICROPERFORAD;1.26X0.17;M
18008933	VINIL:MICROPERFORAD;0.92X1.05;M
18008936	PORTA:AFICHE;56X76;FULLCOLOR
18008937	PORTA:AFICHE;DOBLE;70X90;FULLCOLOR
18008938	PORTA:AFICHE;TRIPLE;70X90;FULLCOLOR
18008939	BANDEROLA:PLANA;30X30;DOS;CARAS
18008940	BANDEROLA:PLANA;35X35;DOS;CARAS
18008941	BARROTERO:TERMOF;54X16;FULLCOLOR
18008942	CENEFA:ESTIRENO;76X4;FULLCOLOR
18008943	CENEFA:TERMOF;70X25;FULLCOLOR
18008944	DANGLER:FOLCOTE;10X10;CLEAR
18008945	STOPPER:CLEAR;12X21
18008946	MENU;BACKLIGHT;KIOSKO;50X25;CM
18008947	HABLADOR:CAJA;KIOSKO;DE;HELADO;30X38CM
18008948	DUMMIE:CONO;KIOSKO;57X38CM
18008949	DUMMIE:CAPUCCINO;57X1.15CM
18008950	DUMMIE:CONO;KIOSKO;HELADOS;57x78CM
18008951	INFLABLE:PIZZA;CAMPERO;2M
18008952	INFLABLE:PIZZA;CAMPERO;4M
18008954	BANNER:PARUQUEO;C707-1.30X3M
18008955	ROTULO:ACRI10MM;CORTLAS;V;TRA;0.14X0.19M
18008956	BANDERIN:PLASTICO;UN;COLOR;PITA;DE;2M
18008957	HOJA:SICILIO;TEXC;12;0.15X0.23M;FULLCOLO
18008958	HOJA:SICILIO;TEXC;12;0.60X0.40M;FULLCOLO
18008959	ADHESIVO:IMP;DIRE;TEXC;12;0.13X0.18M;F/C
18008960	CENEFA:PVC;30X15;FULL COLOR;TIRO
18008961	CENEFA:PE;30X15;FULL COLOR;TIRO
18008962	STOPPER:TEXCOTE;15X30
18008963	AFICHE:11X17;FC;TIRO;TEXCOTE
18008964	AFICHE:8.5X11;FC;TIRO;TEXCOTE
18008965	AFICHE:16.5X22.5;FC;TIRO;TEXCOTE
18008966	AFICHE:11X17;FC;TIRO;TEXCOTE
18008967	UNIFOLIARES:3.5X8.5;COUCHE
18008968	VOLANTES:BOND;5.5X8.5
18008969	TABLETENT:HUSKY;5X20.5
18008970	CALENDARIO:BOND;16.25X21
18008971	SOBRE:2.15X12.08";220GRS;TROQ;FULL;COLOR
18008972	BOLETIN:14.00X21.60;CM;FULL;COLOR
18008975	BANNER:PARQUEO;C676-1X2M
18008976	BANNER:PARQUEOC706-1X2M
18008977	MARCOS:FOTOGRAFICOS
18008978	CORONA:PARA NIÑOS;CARTON
18008980	BANNER:MALLA;CICLON;31X1.80M
18008981	STICKER:MOTOCICLETAS;0;EMISIONES
18008990	GIF:CARD;$25
18009000	TOLDO:ESTRUCT;METALICA;2.65X0.75X0.50M
18009001	TOLDO:ESTRUCT;METALICA;1.40X0.75X0.50M
18009002	TOLDO:ESTRUCT;METALICA;2.57X0.75X0.50M
18009005	ROTULO:ALTURA;MAX;AREA;JUEGOS;PEQUEÑO
18009006	ROULO:ALTURA;MAX;AREA;JUEGOS;GRANDE
18009007	LONNA:PARA;PERIQUERA;1;CARA;0.52X0.82
18009008	TERDCAR:28X20CM;
18009009	DUMMI:TROQUELADO;PVS;
18009010	HABLA:CAJA;PVC3MM;IMPRDIRC;0.55X0.35M
18009011	COLGANTE:C-14;0.30X0.30M;FULL COLOR
18009012	STICKER:IMPREDIRECT;UV;10X10CM;FULL;CLR
18009013	ESTRUCMETAL:1"AMC4MM;IMPUV;0.70X0.86M
18009014	IMPRESION:DI;UV;ACM3MM;0.35X0.50CNC;MOUT
18009015	IMPRESION:DI;UV;PVC5MM;1.065X0.615;MOUTI
18009017	ROTULO:QUE;CHIVO;VIVIR;A;TODO;SABOR
18009018	STCIKER:ABRE;LAS;PUERTAS;AL;SABOR
18009019	STICKER ADEREZO DE ENSALADA DE POLLO
18009020	STICKER:PRODUCTO;NO;CONFORME/RECHAZADO
18009021	IMPRESION:DIRECTA;UV;0.50X0.16M;CNC
18009031	ACRILICO:3MM;BACKBLC;ALTRES;0.03X0.03M
18009032	IMAGEN:IMPRESION;DIREC;PVC5MM;0.37X0.30M
18009033	IMAGEN:IMP;ALTRES;PVC1MM;0.25X0.70MC/CIN
18009040	PELUCHE:EN;FORMA;DE;PIZZA;SICILIO;
18009041	GYMBAG:CON;LOGO;DE;LA;MARCA;
18009042	CALSETINES:BORDADOS;LOGO;PS;
18009043	STIKER:EXIGE;TU;TKET;15X15CM
18009044	STIKER:NO;OLVIDES;;EXTRA;QUESO;17X10CM
18009045	STIKER:OFRECER;EXTRA;QUESO;25X2CM
18009046	STIKER:LONA;PRECIO;28X13CM
18009047	STIKER:HABALDOR;PRECIO;9X4CM
18009048	STIKER:RIGIDO;PRECIO;32X15CM
18009049	VOLANTE:4.25X5.5";C B-80;FULL;COLOR
18009050	ACRILICO:10MM;TRANS;CORT;LASE;0.14X0.19M
18009051	BANDERA:NACIONAL
18009052	VINIL:FORMATO:GRANDE;0.60X0.60M
18009053	ROTULO:VUELVE;PRONTO
18009054	VINIL:ADHE;0.45X0.30M;BACKBLANCO;ACR3MM
18009055	STICKER:WINDOWS;202X1.43CM
18009056	IMAGEN:IMPREDIREC;PVC5MM;0.25X0.70MC/CIN
18009057	IMAGEN:IMPREDIREC;PVC5MM;0.31X0.72MC/CIN
18009061	SEÑAL:CUBO;PVC;IMP;ALT/RESOL;0.52X0.50M
18009063	PREMIUM PEANUTS
18009065	EXHIBIDOR PREMIUM PEANUTS
18009067	LONA:BACK;NEGRO;FULL;COLOR;6.45;X;1.80M
18009068	LONA:BACK;NEGRO;FULL;COLOR;3.20;X;1.60M
18009069	LONA:BACK;NEGRO;FULL;COLOR;4.00X1.80M
18009070	MESH:IMPRESION;FULL;COLOR;3.62;X;2.21M
18009071	MESH:IMPRESION;FULL;COLOR;2.70;X;2.22M
18009072	MESH:IMPRESION;FULL;COLOR;5.00;X;3.30M
18009073	MESH:IMPRESION;FULL;COLOR;3.73;X;3.10M
18009074	MESH:IMPRESION;FULL;COLOR;2.36;X;2.19M
18009075	MESH:IMPRESION;FULL;COLOR;2.71;X;1.24M
18009076	ADHESIVO:MESH;ALTRESOL;5.84;X;4.50;M
18009084	IMAGEN:PARA;VALLA;;6.50X1.80M
18009085	IMAGEN:PARA;VALLA;;4.00X1.80M
18009086	IMAGEN:PARA;VALLA;3.20X1.60M
18009087	IMAGEN:PARA;VALLA;4.00X4.00M
18009088	IMAGEN:PARA;VALLA;6.00X4.35M
18009089	IMAGEN:PARA;BANDEROLA;1.57X2.00M
18009090	STICKER:ADHESIVO;3.62X2.21M
18009091	STICKER:ADHESIVO;2.70X2.22M
18009092	STICKER:ADHESIVO;5.00X3.30M
18009093	STICKER:ADHESIVO;3.73X3.10M
18009094	STICKER:ADHESIVO;2.36X2.19M
18009095	STICKER:ADHESIVO;2.71X1.24M
18009096	STICKER:ADHESIVO;3.36X2.25M
18009097	ROTULO2.00X0.94M:IMPRDIRUVS/CORTOPL;6MM
18009100	STICKER:PUERTA;AUXILIAR
18009110	INSERTO:MENU;17.25X11.42";FULL;COLOR
18009111	INSERTO:MENU;27.80X11.40";FULL;COLOR
18009112	PROMOCIONAL:GIFTCARD;Q.2,500.00
18009113	ROTULO:VINIL;TRASLUCIDO;1.50X0.75M
18009114	MENU:PD;MOVIL;1X1.22M
18009116	PLECA:0.08X0.06M;VINIL;ADHESI;MAGNETICO
18009119	LONA:BACK:GRIS;FULL;COLOR;6.50X1.80M
18009120	INSERTO:MENU;27.874X11.434";FULL;COLOR
18009121	LETRERO:GRIS;PARA;ESTACION;RECICLAJE
18009122	PROMOCIONAL:GIFTCARD;Q.1,500.00
18009123	PROMOCIONAL:GIFTCARD;Q.1,000.00
18009124	INFLABLE:3X3M;COMPRESOR;INTELIGE;LUZ;INT
18009125	ROTULO:ACM:0.90X0.35M;ACRILICO;PVC;5MM
18009126	ROTULO:ACM:0.90X0.81M;ACRILICO;PVC;10MM
18009127	ROTULO:PLANTILLA:PAPEL;1.50X1.105;M
18009128	ROTULO:PLANTILLA:PAPEL;1.50X1.105M
18009129	ROTULO:LETRA:PVC5MM;0.20X0.23M;ILUM.NEO
18009130	STICKER:RECICLABLE;0.30X0.30M
18009132	STICKER:NO;RECICLABLE;0.30X0.30M
18009133	STICKER:UNIDAD;ORGANICA;0.30X0.30M
18009134	LETRERO:VERDE;PARA;ESTACION;RECICLAJE
18009135	LETRERO:NEGRO;PARA;ESTACION;RECICLAJE
18009136	PROMOCIONAL:GIFTCARD;Q.1,250.00
18009139	LONA:BACK:NEGRO;FULL;COLOR;1X2M
18009141	MESH:IMPRESION;FULL;COLOR;6X3M
18009150	SALIENTE:TROQ;PVC5MM;IMPDIR;0.62X0.61M
18009151	INSERTO:MENU;20.50X8.00";FULL;COLOR
18009152	ADHESIVO:MESH;ALTRESOL;5.84X4.15M
18009153	PLECA:0.09X0.08M;VINIL;ADHESI;MAGNETICO
18009154	ROTULO:LETRA:PVC5MM;0.30X0.457M;ILUM.NEO
18009155	IMPRESION:DIRECUV;S/COROPL6MM;1.50X0.60M
18009156	INSERTO:MENU;8.50X13.00";FULL;COLOR
18009160	PLECA:0.28X0.22M;VINIL;ADHESI;MAGNETICO
18009161	CUBO:RUBIK+;ADHESIVO;2X2;
18009170	INFLABLE:5X5M;COMPRESOR;INTELIGE;LUZ;INT
18009180	LONA:BACK:NEGRO;FULL;COLOR;1.57X2M
18009181	PROPS:FC;PVC;TROQUELADO;0.40X1MT;BASE
18009182	IMPRESION:DIRC/UV;PVC3MM;0.50X0.374M;CNC
18009183	VINIL:ADHESIVO;FULL;COLOR;0.97X0.97M
18009184	ROTULO:1.30X0.52M;PVC5Y3MM;ACR.LECH;3MM
18009185	VINIL:1.30X0.52M;CORT108;VINIL;AMARI106
18009186	ROTULO:0.60X0.20M;PVC5MM;VINIL;114;CNC
18009187	MANTA:60X35CM;PASPARTU10CM;C/L
18009188	PLECA:ADHE;ALTMATE;1.84X0.74MTS;PVC5MM
18009191	STICKER:EXHIBIDOR;DE;POLLITO
18009201	ADHESIVO:VINIL;MAGNETICO;UV;0.10X0.10M
18009202	CUADRO:MARCO;8055CM;PASPARTU
18009203	PLATO DE POLLITO TDP
18009204	ROTULO:RESERVADO
18009205	BOTELLA:METALICA;TAPA;900ML
18009206	BOTELLA:METALICA;TAPA;540ML
18009215	BOLSA:DULCE;20;LIBRAS
18009216	BOLSA:DULCE;40;LIBRAS
18009217	BUZON:CUPONERO;SICILIANA
18009218	CONSOLA:PLAY;STATIONS
18009219	COSOLA:NINTENDO;SWICHT
18009220	CUPON:PROMO;SICILIANA
18009221	INFLABLE:FORMA;SICILIO;2M
18009222	PIN:METAL;FULL;COLOR;PS
18009223	PIN:REDONDO;PLASTICO
18009224	PVC:FORMA;MANO
18009225	SINCTILLO:30;CMX0.2;CM
18009226	TARJETA:1/4;PAGINA
18009232	PANTUFLAS DE POLLITO TALLA S
18009234	PANTUFLAS DE POLLITO TALLA M
18009235	FLECHA:EVACUACION;0.25X0.25;0.06;4MM
18009237	LONA :SEGOVIA; AMARILLA;18ONZ
18009241	LONA:CRISTAL;16ONZ
18009250	LOGOTIPO:TROQ;0.30X0.10M;IMPDIRUV;PVC3MM
18009251	LONA:18ONZ;CAFE
18009255	CAFETERA:PRENSA;FRANCESA;VIDRIO
18009256	ACRILICO:10MM;TRANS;CORT;LASE;0.30X0.18M
18009258	CHARMS NAVIDEÑOS
18009259	POLLITO KAWAII DE PELUCHE
18009260	VASO:YETI;10;ONZ;PERSONALIZADO
18009261	VINIL:GRAN;FORMTO;0.60X0.60M
18009270	LONA:BACK;NEGRO;FULL;COLOR 9.00X2.50M
18009271	VINIL:ADHESIVO;0.07X0.07M;ALTMATLAM.CORT
18009273	INFLABLE:PIZZA;3;METROS
18009279	FLOTADOR PIZZA CAMPERO
18009281	SUETER DE POLLITO TALLA M
18009282	VINIL:ADHE;0.56X0.03M;BACKGRIS;ALTRES
18009283	LONA:FULL;COLOR;1.65X0.90;M
18009284	ESTRUCMETAL:1";LONA;BACKNG;3.05X4.10M;FC
18009285	LONA:BACK;NEGRO;FULL;COLOR;15.15X2.67M
18009286	BASTIMET:1X1";LONA;FULL;CLR;4.89X2.95M
18009287	BASTIMET:1X1";LONA;FULL;CLR;4.00X2.95M
18009288	BASTIMET:1X1";LONA;FULL;CLR;6.71X2.88M
18009289	BASTIMET:1X1";LONA;FULL;CLR;6.30X2.37M
18009290	LONA:FULL;COLOR;17.40X2.50;M
18009291	VINIL:ADHE;0.40X0.60M;ALTMAT;LAMINA;MAT
18009292	LONA:BACK;NEGRO;IMPRE;DIGTAI;10.40X2.00M
18009293	LONA:BACK;NEGRO;FULL;COLOR;1.50X1.00M
18009294	ESTRUCMETAL:1";LONA;BACKNG;4.20X2.45M;FC
18009295	TOALLA DE POLLITO NIÑOS
18009296	FLOTADOR DE POLLITO
18009297	PAPEL:SULFATADA;CUB0;12PT52.708X20.956CM
18009298	ESTUCHE DE REPTAR
18009299	CAJA;PERSONAL;9X5CM;6CRAYONES;COLORES
18009301	POLLITO CON IMAN
18009303	SMARTWACH;SAMSUNG:GALAXY;FE;40MM
18009310	MOTOCICLETA:AKT;150;149.5CC;AZUL
18009311	INFLABLE:DP;MATERIAL;OXFORD;2MTSX63CM
18009312	SMARTPHONE:PROMOCIONAL
18009313	CALCETINES:PROMOCIONALES;DON;POLLO
18009314	IMANES:PROMOCIONALES;8.5X6;CM
18009315	BANNER:CON;ESTRUCTURA;ARANA;1.60X.60
18009316	LATERALES:CAMIONES;LS;5.90X2.32M
18009321	TOPPER DE LAPIZ
18009322	REPTAR CALCETINES
18009324	STICKER:EN;VINIL;ADHESIVO;8X6CM
18009325	PELUCHE MAXICAMPERO POLLITO
18009330	RELOJ REPTAR
18009331	CLIP REPTAR
18009332	EXHIBIDOR PREMIUM REPTAR
18009333	PORTACREDENCIALES REPTAR
18009365	PROMOCIONAL:GIFTCARD;SUPER;SELECTOS;$50
18009375	STIKER:TRASERO;DE;CAMION;LS;2.29X2.22M
18009376	LONA:RIGIDA;0.39X0.78CMS
18009377	RIGIDO:MEDIDA;0.60X01.20M
18009378	STICKER:0.30X0.2CM;PIZZA;LISTA;
18009379	PLACA:PVC;FACTURA;ELECTRONICA;21X26CM
18009380	STICKERS:TU;TICKETS;ES;IMPORTANTE;15X15C
18009381	STICKERS:TU;TICKETS;ES;IMPORTANTE;15X15C
18009382	STICKERS:TU;TICKETS;ES;IMPORTANTE;15X15C
18009383	LOGOTIPO:SICILIO;TROQUELADO;0.11X0.6CM
18009384	MANITAS:TROQUELADAS;PVC;3;MM;0.14X0.7CM
18009385	LONA:PROXIMAMENTE;2.06X0.90CM
18009386	STIKER:LATERAL;CAMION;LS;5.90X2.32M
18009387	STIKER:TRASERO;CAMION;LS;2.29X2.22M
18009388	STICKER:PARA;LONA;0.28X0.13CM
18009389	STICKER:PARA;HABLADOR;0.9X0.4CM
18009390	STICKER:PARA;RIGIDO;0.32X0.15CM
18009391	PROMOCIONAL:GIFTCARD;SUPER;SELECTOS;$100
18009392	LONA:IMPRESA;6X1M
18009393	PELUCHE MAXICAMPERO SUPERCAMP
18009394	EXHIBIDOR PREMIUM MINI CAMPEROS W3
18009395	PREMIUM MINI CAMPEROS WAVE 3
18009397	PROMOCIONAL:GIFT;CARD;$100
18009398	PROMOCIONAL:GIFT;CARD;$50
18009399	EXHIBIDOR SUPERMAN LEGACY
18009401	ROTULO:PVC;POLIPROPILENO;6MM;0.96X1.45M
18009412	ROTULO LUMINOSO PIZZA CAMPERO 1.70X1.07M
18009414	LONA:IMPRESA;CINTILLO;C147;0.45X0.6M
18009416	PREMIUM SUPERMAN LEGACY
18009417	ADHESIVO:VINIL;NEON;STAND;0.3X3X0.9M
18009418	ADHESIVO:VINIL;STAND;1.7X0.38X0.65
18009420	ADHESIVO:MATE;STAND;0.91X1.04X0.95M
18009430	EXHIBIDOR HASBRO CHIBIS
18009432	VINIL:ESTRUCTURA;SALIENTE;RESTAURANTE
18009433	STICKER:TRASERO;CAMION;2.29X2.22M
18009434	STICKER:LATERAL;CAMION;5.90X2.32M
18009435	ROTULO:ESTANTERIA;PVC;10X5CM
18009436	STICKER:TOPPER;15X20CM
18009437	ROTULO:CARRILERA;22X28CM
18009438	ROTULO:DESPACHO;45X15CM
18009439	ROTULO:AREAMESA;1.00X0.33M
18009440	LONA:IMPRESA;16X1.50M
18009441	PREMIUM HASBRO CHIBIS
18009450	ROTULO:VINIL;PVC;ALAMBRE;10X2.40M
18009451	ROTULO:ACM;DORADO;0.9X0.51M
18009453	ROTULO:ACRILICO;TRANSPARENTE;0.48X0.30M
18009454	ESPEJO:ACRILICO;0.3X0.3M
18009455	PORTAVASO:POLIESTIRENO;3MM;0.1X0.M
18009469	MAMPARA:MESA;CRISPY;0.70X1.00M
18009470	MENU:MANO;11.25X8.75CM
18009471	VINIL:ALETAS;CARRETA;40X60CM
18009472	PONCHO:PROMOCIONAL;NARANJA
18009473	JUEGO:112;CARTAS;3X4PULG
18009474	STICKER:VINIL;5X5CM
18009475	MUEBLE:MERCADERIA;1.87X0.90M
18009476	SOMBRERO:PROMOCIONAL;DON;POLLO
18009477	BANDEROLA:METALICA;2.6X0.50M
18009478	TRIFOLIAR:FULLCOLOR;21X9.9CM
18009479	STICKER:PRECIOS;10X7CM
18009480	VINIL:ALTA;RESOLUCION;GRIS;0.70X0.495M
18009481	VINIL:ALTA;RESOLUCION;0.54X0.495M
18009491	STICKER:PIZZA;LISTA;1.00X0.55CM
18009492	EXHIBIDOR MIRACULOUS LADYBUG
18009494	EXHIBIDOR NAVIDAD NICK 90s
18009495	EXHIBIDOR ONE PIECE
18009496	EXHIBIDOR PICAPIEDRAS
18009497	EXHIBIDOR YU GI OH! & FURBY
18009498	PREMIUM FURBY
18009499	PREMIUM MIRACULOUS LADYBUG
18009500	VINIL:ADHESIVO;BARRA;LLEVAR;RESTAURANTE
18009501	INFLABLE:ARCO;CARRERAS;4X6M
18009502	ROTULO:FALDON;VINIL;SOBREPUESTO;5X1.15MT
18009503	ROTULO:BANDERA;VINIL;2.50X0.80MT
18009504	ROTULO:FALDON;ENCAJUELADO;3X0.75M
18009505	ROTULO:FALDON;ENCAJUELADO;2.70X0.75M
18009510	PANEL:ESTRUCTURA;2.30X0.565M
18009511	STICKER:BARRA;SICILIANA;1.66X0.50M
18009512	TARJETA:TIENDA;PVC;0.28X0.21X015M
18009513	TARJETA:REGALO;GIFTCARD;$10
18009514	LEYENDA:SICILIO;0.38X0.24CM
18009515	VINIL:CORTE;NARANJA;AMARILLO;6.20X1.20M
18009520	PREMIUM NAVIDAD NICK 90s
18009521	PREMIUM ONE PIECE
18009522	PREMIUM PICAPIEDRAS
18009523	PREMIUM YU GI OH!
18009525	EXHIBIDOR:SICILIO;2;INSERTOS;0.92X1.55M
18009526	ROTULO:PLACA;FACTURA;0.21X0.27M
18009527	STICKER:OFRECE;PEPPERONI;0.17X0.10M
18009528	STICKER:SIEMPRE;LISTO;0.17X0.10M
18009530	TARJETA:REGALO;GIFTCARD;$15
18009531	TARJETA:REGALO;GIFTCARD;$70
18009532	ROTULO:FRONTAL;7.93X1.00M
18009538	LONA:OJETES;0.55X1.15M
18009539	ROTULO:CIRCULAR;LUMINOSO;0.40CM
18009555	ROTULO:BANDERA;DOBLE;CARA;2.40X1M
18009560	IMPRESION:PERSIANA;3.25X2.37M
18009561	ORDENE:AQUI;RECIBA;AQUI;35X20CM
18009562	LOGO:BARRA;PVC;1.60X0.50M
18009563	ROTULO:GAS;INFLAMABLE;25X25CM
18009564	ROTULO:NUMEROS;EMERGENCIA;15X20CM
18009565	ROTULO:ALARMA;CONTRA;INCENDIO;20X30CM
18009566	ROTULO:BOTON;PANICO;20X30CM
18009567	ACRILICO:SICILIO;ACRILICO;30X36CM
18009568	ACRILICO:SICILIO;ACRILICO;60X45CM
18009569	PANEL:ESTRUCTURA;COMPLETO;2X0.40M
18009570	LOGO:BARRA;1.65X0.50M;PVC;3MM
18009571	ADOSADO:ESTRUCTURA;ACERO;1.60X0.60M
18009572	EXHIBIDOR:REDONDO;CANELITAS;3MM
18009573	CAJA:LUZ;CIRCULAR;50X50CM;ACRILICO;3MM
18009574	PANEL:MAGEN;48X60CM;PVC;3MM
18009575	ROTULO:RECORTADO;ACRILICO;0.80X0.50M
18009580	KIT:BIENVENIDA;CENTRAL
18009582	MAGNETICO:PVC;FLEXIBLE;48.47X8.38CM
18009583	MAGNETICO:PVC;FLEXIBLE;60.54X8.38CM
18009584	MAGNETICO:PVC;FLEXIBLE;25X20CM
18009585	MAGNETICO:PVC;FLEXIBLE;22.5X28.39CM
18009586	MAGNETICO:PVC;FLEXIBLE;25X37CM
18009587	MAGNETICO:PVC;FLEXIBLE;22.5X13CM
18009588	MAGNETICO:PVC;FLEXIBLE;13X13CM
18009589	MAGNETICO:PVC;FLEXIBLE;26X33CM
18009601	COPA;PLATEADO;PRIMERLUGAR;61CM
18009602	COPA;DORADO;SEGUNDOLUGAR;24"
18009603	COPA;DORADO;TERCERLUGAR;23"
18009604	PLASMA;MEDIOGUANTE;ORO;9.5"
18009605	PLASMA;MEDIABOTA;ORO;9.5"
18009606	MEDALLA;METAL;DORADO;2.7"
18009607	MEDALLA;METAL;DORADO;2.3"
18009608	MEDALLA;METAL";DORADO;1.9
18009609	IMPRESION;LAMINA;MG;CENTEL
18009610	LISTON;SEDA;NARANJA;CENTEL;1"
18009611	PRUEBA 09.08.2025 # 5
18009613	PRUEBA 09.08.2025 # 7
18009615	TARJETA:REGALO;LEALTAD;PREMIOS;$30
18009620	MAGNETICO:PVC;FLEXIBLE;16X33CM
18009621	MAGNETICO:CERAMICO;5.8X5.8CM
18009642	POLLITO FANTASMA HALLOWEEN
18009643	POLLITO CALABAZA HALLOWEEN
18009644	ROTULO:BARRA;PROMO;PVC;1.15;X;0.20MT
18009645	ROTULO:ADOSADO;ESTRUCTURA;3.22X2.00MTS
18009647	PELUCHE POLLITO NAVIDEÑO
18009650	ROTULO:VINIL;FULL;COLOR;2.70X0.75CM
18009651	ESTRUCTURA:MENU;BOARD;2.40;X;0.60MTS
18009652	RIGIDO:PVC;3MM;1CARA;ESTRU;1.20X0.60;MTS
18009653	ROTULO:HABLADOR;CAJA;PVC;3MM;30;X;25CMS
18009654	ROTULO:ADOSADO;METAL;ALUZINC;4X1.50M
18009655	ROTULO:ACRILICO;TROQUELADO;1.20X0.48M
18009656	IMPRESION:LAMINADA;LONA;58X22CM
18009657	ROTULO:DIRECCIONAL;PARQUEO;1.18X0.3M
18009659	ROTULO:CAJA;LUZ;AUTOCAMPERO;4.30X1.21M
18009661	BOLSA:GYMBAG;NYLON;ROJO;14;1/2X17"
18009662	ROTULO:VINIL;ENCAJUELADO;3.02X0.915M
18009663	ROTULO:VINIL;ENCAJUELADO;3.80X1.15;M
18009665	LONA:REJILLA;POLIESTER;0.51X1.12CM
18009667	BOLETO:EMPRESARIAL;SUPERSAVER
18009668	CAJA:ESTRELLAS;TROQUELADO;6.25X12.5"
18009669	ROTULO:ACRILICO;0.95X0.73M
18009677	ROTULO ACRILICO PVC 3.95X2.34M
18009678	ROTULO VINIL TROQUELADO 1.8X1.1M
18009679	ROTULO ACRILICO VINIL 2.8X0.37M
18009680	ROTULO ACRILICO VINIL 1.8X0.61M
18009681	ROTULO PVC NEON 3.5X0.725M
18009682	CAJA LUZ POLLITO 1.65X1.22M
18009683	STICKER VINIL TROQUELADO 0.35X0.17M
18009684	ROTULACION SANDBLAST VINIL 0.48X1.98M
18009685	CAJA:LUZ;APP;1777;UN;FRENTE;4.30X1.21;M
18009690	ROTULO:ACRILICO;15X15CM;10CM
18009691	ROTULO:VINIL;PVC;ORGANICO;28X15CM
18009692	GORRA CAMPERO VINTAGE
18009693	HOJA DE ACTIVIDADES TEMPORADA
18009694	TARJETA:REGALO;GIFTCARD;$150
18009695	TARJETA:REGALO;GIFTCARD;$75
18009696	ROTULO:RECARGANDO;ENERGIA;1.80X0.61M
18009697	ROTULO:ESTRUCTURA;METALICA;1X1;+;PVC;5M
18009698	ROTULO:ACRILICO;PVC;LED;1.7X0.56X0.95M
18009702	ROTULO:FALDON;VINIL;4X1.15M
18009703	TENT:CARD;PVC;5X15CM;10CM
18009704	TENT:CARD;PVC;0.28X0.21X015M
18009705	STICKER:MB;24X6CM
18009706	STICKER:PARA;LONA;22X8CM
18009707	ROTULO:FALDON;VINIL;4X1.15M
18009708	ROTULO:VINIL;PVC;RESIDUO;15CM2
18009709	ROTULO:ACRILICO;0.29X0.19M
18009711	VINIL:MICROPERFORADO;FULLCOLOR;1X1M
18009715	CUADRO:BASE/MEMBRANA;PLASTICA
18009726	ROTULO:"AQUI;VIVIMOS;A;TODO;SABOR"
18009727	ROTULO:HASTA;PRONTO;EL;SABOR;TE;ACOMPAÑE
18009728	ROTULO:"A;TODO;SABOR
18009729	ROTULO:RECARG;ENERG;SERVIR;FEL;LLENO;VID
18009730	PLACA:"BAÑOS"
18009731	PLACA:"JUEGOS"
18009732	ROTULACION:VENT;PASILLO;BAÑO;VINIL
